county,,year,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,fips
"Kiowa",283,2014,8,2,10,"Felony",6,4,2,2,1,1,8,8061
"Kiowa",284,2015,9,1,10,"Felony",4,4,NA,1,NA,1,5,8061
"Kiowa",285,2016,4,NA,4,"Felony",2,2,NA,NA,NA,NA,2,8061
"Kit Carson",94,2014,181,39,220,"Misdemeanor",112,101,11,37,29,8,149,8063
"Kit Carson",95,2015,164,62,226,"Misdemeanor",105,94,11,58,51,7,163,8063
"Kit Carson",96,2016,196,73,269,"Misdemeanor",108,88,20,70,61,9,178,8063
"Kit Carson",286,2014,49,6,55,"Felony",29,24,5,5,3,2,34,8063
"Kit Carson",287,2015,54,14,68,"Felony",33,23,10,13,13,NA,46,8063
"Kit Carson",288,2016,61,27,88,"Felony",35,23,12,26,15,11,61,8063
"La Plata",97,2014,753,463,1216,"Misdemeanor",450,389,61,380,303,77,830,8067
"La Plata",98,2015,906,541,1447,"Misdemeanor",547,476,71,507,408,99,1054,8067
"La Plata",99,2016,1000,463,1463,"Misdemeanor",617,549,68,430,366,64,1047,8067
"La Plata",289,2014,249,224,473,"Felony",141,89,52,184,135,49,325,8067
"La Plata",290,2015,281,210,491,"Felony",174,139,35,199,150,49,373,8067
"La Plata",291,2016,324,178,502,"Felony",216,183,33,163,139,24,379,8067
"Lake",100,2014,152,63,215,"Misdemeanor",107,91,16,64,51,13,171,8065
"Lake",101,2015,242,68,310,"Misdemeanor",182,148,34,67,56,11,249,8065
"Lake",102,2016,212,50,262,"Misdemeanor",150,122,28,47,43,4,197,8065
"Lake",292,2014,77,8,85,"Felony",59,47,12,8,7,1,67,8065
"Lake",293,2015,40,6,46,"Felony",31,27,4,6,6,NA,37,8065
"Lake",294,2016,68,14,82,"Felony",56,47,9,13,11,2,69,8065
"Larimer",103,2014,2059,3712,5771,"Misdemeanor",1350,1091,259,2986,2705,281,4336,8069
"Larimer",104,2015,2278,3780,6058,"Misdemeanor",1459,1181,278,2908,2581,327,4367,8069
"Larimer",105,2016,2306,3737,6043,"Misdemeanor",1395,1133,262,2827,2542,285,4222,8069
"Larimer",295,2014,1309,472,1781,"Felony",765,609,156,439,388,51,1204,8069
"Larimer",296,2015,1647,508,2155,"Felony",941,735,206,465,410,55,1406,8069
"Larimer",297,2016,2130,645,2775,"Felony",1161,905,256,586,522,64,1747,8069
"Las Animas",106,2014,706,123,829,"Misdemeanor",465,385,80,132,86,46,597,8071
"Las Animas",107,2015,698,86,784,"Misdemeanor",399,337,62,94,70,24,493,8071
"Las Animas",108,2016,781,65,846,"Misdemeanor",400,335,65,65,47,18,465,8071
"Las Animas",298,2014,105,62,167,"Felony",72,55,17,62,48,14,134,8071
"Las Animas",299,2015,137,62,199,"Felony",77,60,17,65,46,19,142,8071
"Las Animas",300,2016,112,43,155,"Felony",70,52,18,44,30,14,114,8071
"Lincoln",109,2014,238,8,246,"Misdemeanor",100,89,11,6,6,NA,106,8073
"Lincoln",110,2015,354,5,359,"Misdemeanor",99,86,13,8,6,2,107,8073
"Lincoln",111,2016,389,8,397,"Misdemeanor",106,97,9,11,10,1,117,8073
"Lincoln",301,2014,63,3,66,"Felony",22,19,3,4,4,NA,26,8073
"Lincoln",302,2015,80,NA,80,"Felony",25,24,1,NA,NA,NA,25,8073
"Lincoln",303,2016,84,3,87,"Felony",44,34,10,2,1,1,46,8073
"Logan",112,2014,326,160,486,"Misdemeanor",204,169,35,155,124,31,359,8075
