fips,year,county,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type,jud_district,medianHI,medianHI_MOE,povertyR
8065,2015,"Lake",40.0,6,46.0,"felonybondtype",5,45913,4822,15.7
8065,2016,"Lake",212.0,50,262.0,"misdemeanorbondtype",5,49064,5108,14.6
8065,2016,"Lake",68.0,14,82.0,"felonybondtype",5,49064,5108,14.6
8069,2014,"Larimer",2059.0,3712,5771.0,"misdemeanorbondtype",8,57659,2943,12.8
8069,2014,"Larimer",1309.0,472,1781.0,"felonybondtype",8,57659,2943,12.8
8069,2015,"Larimer",2278.0,3780,6058.0,"misdemeanorbondtype",8,64935,2643,12.2
8069,2015,"Larimer",1647.0,508,2155.0,"felonybondtype",8,64935,2643,12.2
8069,2016,"Larimer",2306.0,3737,6043.0,"misdemeanorbondtype",8,66561,2623,11.2
8069,2016,"Larimer",2130.0,645,2775.0,"felonybondtype",8,66561,2623,11.2
8071,2014,"Las Animas",706.0,123,829.0,"misdemeanorbondtype",3,39625,3652,17.4
8071,2014,"Las Animas",105.0,62,167.0,"felonybondtype",3,39625,3652,17.4
8071,2015,"Las Animas",698.0,86,784.0,"misdemeanorbondtype",3,38858,2839,19.3
8071,2015,"Las Animas",137.0,62,199.0,"felonybondtype",3,38858,2839,19.3
8071,2016,"Las Animas",781.0,65,846.0,"misdemeanorbondtype",3,38224,3638,21.6
8071,2016,"Las Animas",112.0,43,155.0,"felonybondtype",3,38224,3638,21.6
8073,2014,"Lincoln",238.0,8,246.0,"misdemeanorbondtype",18,41248,4324,18.3
8073,2014,"Lincoln",63.0,3,66.0,"felonybondtype",18,41248,4324,18.3
8073,2015,"Lincoln",354.0,5,359.0,"misdemeanorbondtype",18,43188,4272,19.4
8073,2015,"Lincoln",80.0,NA,80.0,"felonybondtype",18,43188,4272,19.4
8073,2016,"Lincoln",389.0,8,397.0,"misdemeanorbondtype",18,42969,4271,18.1
8073,2016,"Lincoln",84.0,3,87.0,"felonybondtype",18,42969,4271,18.1
8075,2014,"Logan",326.0,160,486.0,"misdemeanorbondtype",13,45439,4632,17.7
8075,2014,"Logan",153.0,73,226.0,"felonybondtype",13,45439,4632,17.7
8075,2015,"Logan",243.0,211,454.0,"misdemeanorbondtype",13,46306,4123,15.5
8075,2015,"Logan",169.0,65,234.0,"felonybondtype",13,46306,4123,15.5
8075,2016,"Logan",249.0,186,435.0,"misdemeanorbondtype",13,49407,5217,16.4
8075,2016,"Logan",194.0,82,276.0,"felonybondtype",13,49407,5217,16.4
8077,2014,"Mesa",1508.0,1312,2820.0,"misdemeanorbondtype",21,50106,3385,15.4
8077,2014,"Mesa",785.0,721,1506.0,"felonybondtype",21,50106,3385,15.4
8077,2015,"Mesa",1686.0,1317,3003.0,"misdemeanorbondtype",21,51449,2441,14.1
8077,2015,"Mesa",755.0,817,1572.0,"felonybondtype",21,51449,2441,14.1
8077,2016,"Mesa",1589.0,1402,2991.0,"misdemeanorbondtype",21,49825,3592,15.0
8077,2016,"Mesa",957.0,1034,1991.0,"felonybondtype",21,49825,3592,15.0
8079,2014,"Mineral",40.0,NA,40.0,"misdemeanorbondtype",12,51257,4841,8.9
8079,2014,"Mineral",2.0,NA,2.0,"felonybondtype",12,51257,4841,8.9
8079,2015,"Mineral",43.0,2,45.0,"misdemeanorbondtype",12,50481,5035,9.4
8079,2015,"Mineral",1.0,3,4.0,"felonybondtype",12,50481,5035,9.4
8079,2016,"Mineral",36.0,2,38.0,"misdemeanorbondtype",12,52641,5636,9.3
8079,2016,"Mineral",1.0,NA,1.0,"felonybondtype",12,52641,5636,9.3
8081,2014,"Moffat",246.0,95,341.0,"misdemeanorbondtype",14,56193,5788,11.2
8081,2014,"Moffat",134.0,27,161.0,"felonybondtype",14,56193,5788,11.2
8081,2015,"Moffat",257.0,115,372.0,"misdemeanorbondtype",14,59173,5431,11.7
8081,2015,"Moffat",164.0,67,231.0,"felonybondtype",14,59173,5431,11.7
8081,2016,"Moffat",246.0,157,403.0,"misdemeanorbondtype",14,54151,5263,12.9
8081,2016,"Moffat",160.0,93,253.0,"felonybondtype",14,54151,5263,12.9
8083,2014,"Montezuma",402.0,466,868.0,"misdemeanorbondtype",22,44163,3535,16.3
8083,2014,"Montezuma",136.0,67,203.0,"felonybondtype",22,44163,3535,16.3
8083,2015,"Montezuma",413.0,403,816.0,"misdemeanorbondtype",22,42975,4052,19.3
8083,2015,"Montezuma",184.0,60,244.0,"felonybondtype",22,42975,4052,19.3
8083,2016,"Montezuma",421.0,434,855.0,"misdemeanorbondtype",22,40679,3157,15.1
8083,2016,"Montezuma",217.0,61,278.0,"felonybondtype",22,40679,3157,15.1
8085,2014,"Montrose",700.0,155,855.0,"misdemeanorbondtype",7,46336,2249,15.5
8085,2014,"Montrose",282.0,21,303.0,"felonybondtype",7,46336,2249,15.5
8085,2015,"Montrose",648.0,130,778.0,"misdemeanorbondtype",7,46860,4190,17.7
8085,2015,"Montrose",276.0,21,297.0,"felonybondtype",7,46860,4190,17.7
8085,2016,"Montrose",607.0,181,788.0,"misdemeanorbondtype",7,43285,2893,16.4
8085,2016,"Montrose",267.0,34,301.0,"felonybondtype",7,43285,2893,16.4
8087,2014,"Morgan",755.0,201,956.0,"misdemeanorbondtype",13,47631,3610,13.4
8087,2014,"Morgan",182.0,53,235.0,"felonybondtype",13,47631,3610,13.4
8087,2015,"Morgan",775.0,238,1013.0,"misdemeanorbondtype",13,49087,3968,12.1
8087,2015,"Morgan",169.0,81,250.0,"felonybondtype",13,49087,3968,12.1
8087,2016,"Morgan",693.0,247,940.0,"misdemeanorbondtype",13,49129,4418,11.7
8087,2016,"Morgan",207.0,90,297.0,"felonybondtype",13,49129,4418,11.7
8089,2014,"Otero",479.0,157,636.0,"misdemeanorbondtype",16,33043,3235,26.0
8089,2014,"Otero",139.0,65,204.0,"felonybondtype",16,33043,3235,26.0
8089,2015,"Otero",376.0,228,604.0,"misdemeanorbondtype",16,34970,2891,20.6
8089,2015,"Otero",171.0,53,224.0,"felonybondtype",16,34970,2891,20.6
8089,2016,"Otero",210.0,305,515.0,"misdemeanorbondtype",16,36773,3474,23.6
8089,2016,"Otero",153.0,65,218.0,"felonybondtype",16,36773,3474,23.6
8091,2014,"Ouray",88.0,19,107.0,"misdemeanorbondtype",7,57242,5900,9.6
8091,2014,"Ouray",14.0,2,16.0,"felonybondtype",7,57242,5900,9.6
8091,2015,"Ouray",79.0,14,93.0,"misdemeanorbondtype",7,60402,5881,9.4
8091,2015,"Ouray",15.0,2,17.0,"felonybondtype",7,60402,5881,9.4
8091,2016,"Ouray",99.0,13,112.0,"misdemeanorbondtype",7,66813,5137,8.8
8091,2016,"Ouray",22.0,2,24.0,"felonybondtype",7,66813,5137,8.8
8093,2014,"Park",313.0,66,379.0,"misdemeanorbondtype",11,58487,5095,9.4
8093,2014,"Park",53.0,13,66.0,"felonybondtype",11,58487,5095,9.4
8093,2015,"Park",292.0,84,376.0,"misdemeanorbondtype",11,63319,5072,9.2
8093,2015,"Park",61.0,17,78.0,"felonybondtype",11,63319,5072,9.2
8093,2016,"Park",251.0,105,356.0,"misdemeanorbondtype",11,68535,6749,9.2
8093,2016,"Park",56.0,11,67.0,"felonybondtype",11,68535,6749,9.2
8095,2014,"Phillips",39.0,5,44.0,"misdemeanorbondtype",13,47006,4708,11.5
8095,2014,"Phillips",12.0,NA,12.0,"felonybondtype",13,47006,4708,11.5
8095,2015,"Phillips",41.0,22,63.0,"misdemeanorbondtype",13,48562,4650,11.1
8095,2015,"Phillips",18.0,2,20.0,"felonybondtype",13,48562,4650,11.1
8095,2016,"Phillips",54.0,21,75.0,"misdemeanorbondtype",13,49046,5149,11.5
8095,2016,"Phillips",15.0,7,22.0,"felonybondtype",13,49046,5149,11.5
8097,2014,"Pitkin",164.0,61,225.0,"misdemeanorbondtype",9,73274,7823,7.0
8097,2014,"Pitkin",38.0,4,42.0,"felonybondtype",9,73274,7823,7.0
8097,2015,"Pitkin",121.0,53,174.0,"misdemeanorbondtype",9,76663,7200,7.0
8097,2015,"Pitkin",62.0,13,75.0,"felonybondtype",9,76663,7200,7.0
8097,2016,"Pitkin",169.0,41,210.0,"misdemeanorbondtype",9,74576,6536,6.9
8097,2016,"Pitkin",53.0,22,75.0,"felonybondtype",9,74576,6536,6.9
8099,2014,"Prowers",629.0,68,697.0,"misdemeanorbondtype",15,39184,4040,20.9
8099,2014,"Prowers",108.0,47,155.0,"felonybondtype",15,39184,4040,20.9
8099,2015,"Prowers",662.0,59,721.0,"misdemeanorbondtype",15,41348,2612,19.6
8099,2015,"Prowers",157.0,48,205.0,"felonybondtype",15,41348,2612,19.6
8099,2016,"Prowers",625.0,34,659.0,"misdemeanorbondtype",15,40164,4076,20.9
8099,2016,"Prowers",179.0,52,231.0,"felonybondtype",15,40164,4076,20.9
8101,2014,"Pueblo",2513.0,835,3348.0,"misdemeanorbondtype",10,41382,2334,19.0
8101,2014,"Pueblo",1364.0,481,1845.0,"felonybondtype",10,41382,2334,19.0
8101,2015,"Pueblo",2077.0,1332,3409.0,"misdemeanorbondtype",10,40540,1754,19.8
8101,2015,"Pueblo",1388.0,787,2175.0,"felonybondtype",10,40540,1754,19.8
8101,2016,"Pueblo",1906.0,1576,3482.0,"misdemeanorbondtype",10,44644,2886,19.9
8101,2016,"Pueblo",1607.0,657,2264.0,"felonybondtype",10,44644,2886,19.9
