year,medianHI,IncarcerationRate,total_pop
2001,123,5.182411188339363e-3,10386671
2001,122,6.035967961311773e-3,992550
2001,123,7.407783841258424e-3,255812
2001,131,1.174034303472594e-3,1735043
2001,131,1.9144012644258523e-3,1824069
2001,131,2.484541524327132e-3,1305271
2001,129,3.0158834361051945e-3,1538521
2001,132,3.489138228397574e-3,2064120
2001,130,4.315934557124461e-3,2651106
2001,128,4.874257709469959e-3,9027631
2001,130,5.421490995536249e-3,2163427
2001,127,6.167008773682585e-3,440408
2001,140,1.1309377582240882e-3,1119425
2001,142,1.9170356099828722e-3,1791829
2001,142,2.4100174078535166e-3,4859301
2001,141,2.9491489161443036e-3,2645509
2001,143,3.513954245805222e-3,2692693
2001,139,4.27896589557448e-3,5396631
2001,139,4.841233436613761e-3,1707003
2001,142,5.800809138505473e-3,437008
2001,141,7.562858443635442e-3,599641
2001,167,1.0908507210917436e-3,2105696
2001,159,1.8374825107443167e-3,5064538
2001,159,2.385063626468261e-3,4575140
2001,160,2.9757066572084455e-3,6495936
2001,160,3.5094430288507136e-3,3163180
2001,154,4.253632448293813e-3,507096
2001,155,4.870261641278173e-3,110877
2001,157,5.856515373352855e-3,4781
2001,203,1.2788248029061817e-3,8927728
2001,183,1.933298105267149e-3,6752192
2001,202,2.5001737788949456e-3,891938
2001,191,2.8250115322824374e-3,314335
2001,201,3.639839889974044e-3,2515770
2001,183,4.047463786964638e-3,1653134
2001,178,4.761713896348551e-3,124745
2001,192,5.320769384303468e-3,190386
2001,181,5.747474660042068e-3,115529
2001,269,8.029148859403505e-4,196783
2002,84,1.1641575329671677e-3,1059994
2002,78,1.9526110367855997e-3,904430
2002,81,2.49885242342004e-3,1413849
2002,84,2.9540166470771664e-3,1667560
2002,82,3.609404223009666e-3,1486949
2002,87,4.019427404179906e-3,3882145
2002,82,4.828645243042098e-3,1158503
2002,81,5.234871343942649e-3,1146351
2002,83,6.043306218005249e-3,3218106
2002,82,1.048601535123487e-2,6474528
2002,78,0.22950819672131148,549
2002,96,1.3223078276596509e-3,2284642
2002,97,1.9866594017381094e-3,1607724
2002,98,2.4724847306043306e-3,1844703
2002,97,2.977381664892346e-3,2703382
2002,97,3.5981398350970035e-3,2057452
2002,96,4.22054883696044e-3,2354907
2002,97,4.836876605783784e-3,1299599
2002,95,5.242297389294521e-3,1015013
2002,97,5.981259863213036e-3,3904027
2002,97,8.66096744548592e-3,3469012
2002,107,1.2558578696271019e-3,1844954
2002,106,1.9418865379837139e-3,1984153
2002,107,2.385657580337192e-3,1587403
2002,106,2.9824613738073046e-3,1642603
2002,106,3.6387051049909034e-3,1157005
2002,107,4.2282387688631065e-3,3320768
2002,105,4.741387310000186e-3,1023751
2002,105,5.198986352309353e-3,1422585
2002,106,6.251562236903618e-3,1912322
2002,106,8.569694796801593e-3,6576897
2002,113,1.1728041784672173e-3,815993
2002,114,1.923359770101938e-3,707096
2002,113,2.431693890961582e-3,2784890
2002,115,2.918882399528138e-3,3007658
2002,113,3.630933052845747e-3,1505949
2002,113,4.258778944582395e-3,2206501
2002,115,4.904246667612824e-3,1331703
2002,115,5.311682173768896e-3,1134104
2002,114,6.026240798771822e-3,4823405
2002,111,7.358548354086493e-3,4172698
2002,118,1.0475387711152146e-3,205243
2002,118,1.913718740715698e-3,488055
2002,118,2.5495540360791023e-3,1562234
2002,117,2.964644309138193e-3,1354294
2002,120,3.6699135866780485e-3,1875521
2002,118,4.187498128910577e-3,534448
2002,118,4.7091216716095285e-3,1398987
2002,120,5.350081414282391e-3,8598
2002,118,5.648009159253966e-3,14518213
2002,120,7.566237302335323e-3,420156
2002,122,1.0402970626056552e-3,138422
2002,122,2.0165573118154103e-3,334233
2002,122,2.4516652551280376e-3,1155949
2002,122,3.0503159865581226e-3,351439
2002,123,3.5317144102133234e-3,830758
2002,121,4.258953552083729e-3,1133377
2002,121,4.712595598530601e-3,7461281
2002,122,5.040302857050819e-3,9250833
2002,122,5.51474993935178e-3,1710685
2002,121,8.061060214729967e-3,86341
2002,130,1.2652441653873356e-3,2318920
2002,129,1.9064908077226818e-3,1865207
2002,129,2.5687514923160484e-3,1524476
2002,128,3.108143344431417e-3,2255044
2002,129,3.6693392905726555e-3,3065402
2002,128,4.389762718100476e-3,3468069
2002,127,4.700109861970412e-3,847427
2002,130,5.174975103729714e-3,6146503
2002,126,6.341570690186956e-3,723007
2002,126,8.679502259642171e-3,242295
2002,141,1.171916423936509e-3,1291901
2002,143,2.007925985776951e-3,2780979
2002,140,2.454868773862533e-3,4742005
2002,143,3.00328446034605e-3,3435572
2002,140,3.602155327988305e-3,2648692
2002,138,4.297697932300366e-3,4911932
2002,142,4.775457045005065e-3,103655
