County,year,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,Crimes,Offenses,EstPopulation
"Lake",2015,293,40,6,46,"Felony",31,27,4,6,6,NA,37,173,160,7408
"Lake",2016,102,212,50,262,"Misdemeanor",150,122,28,47,43,4,197,279,263,7408
"Lake",2016,294,68,14,82,"Felony",56,47,9,13,11,2,69,279,263,7408
"Larimer",2014,103,2059,3712,5771,"Misdemeanor",1350,1091,259,2986,2705,281,4336,15409,14929,321547
"Larimer",2014,295,1309,472,1781,"Felony",765,609,156,439,388,51,1204,15409,14929,321547
"Larimer",2015,104,2278,3780,6058,"Misdemeanor",1459,1181,278,2908,2581,327,4367,16829,16397,331509
"Larimer",2015,296,1647,508,2155,"Felony",941,735,206,465,410,55,1406,16829,16397,331509
"Larimer",2016,105,2306,3737,6043,"Misdemeanor",1395,1133,262,2827,2542,285,4222,18257,17788,331509
"Larimer",2016,297,2130,645,2775,"Felony",1161,905,256,586,522,64,1747,18257,17788,331509
"Las Animas",2014,106,706,123,829,"Misdemeanor",465,385,80,132,86,46,597,602,590,14296
"Las Animas",2014,298,105,62,167,"Felony",72,55,17,62,48,14,134,602,590,14296
"Las Animas",2015,107,698,86,784,"Misdemeanor",399,337,62,94,70,24,493,718,701,13782
"Las Animas",2015,299,137,62,199,"Felony",77,60,17,65,46,19,142,718,701,13782
"Las Animas",2016,108,781,65,846,"Misdemeanor",400,335,65,65,47,18,465,758,747,13782
"Las Animas",2016,300,112,43,155,"Felony",70,52,18,44,30,14,114,758,747,13782
"Lincoln",2014,109,238,8,246,"Misdemeanor",100,89,11,6,6,NA,106,69,67,5451
"Lincoln",2014,301,63,3,66,"Felony",22,19,3,4,4,NA,26,69,67,5451
"Lincoln",2015,110,354,5,359,"Misdemeanor",99,86,13,8,6,2,107,77,77,5540
"Lincoln",2015,302,80,NA,80,"Felony",25,24,1,NA,NA,NA,25,77,77,5540
"Lincoln",2016,111,389,8,397,"Misdemeanor",106,97,9,11,10,1,117,98,97,5540
"Lincoln",2016,303,84,3,87,"Felony",44,34,10,2,1,1,46,98,97,5540
"Logan",2014,112,326,160,486,"Misdemeanor",204,169,35,155,124,31,359,1223,1195,22492
"Logan",2014,304,153,73,226,"Felony",85,64,21,68,54,14,153,1223,1195,22492
"Logan",2015,113,243,211,454,"Misdemeanor",168,134,34,203,163,40,371,1580,1543,22542
"Logan",2015,305,169,65,234,"Felony",104,79,25,67,54,13,171,1580,1543,22542
"Logan",2016,114,249,186,435,"Misdemeanor",166,135,31,172,141,31,338,1432,1407,22542
"Logan",2016,306,194,82,276,"Felony",95,77,18,72,64,8,167,1432,1407,22542
"Mesa",2014,115,1508,1312,2820,"Misdemeanor",604,466,138,1309,1088,221,1913,9450,9274,148670
"Mesa",2014,307,785,721,1506,"Felony",363,277,86,721,585,136,1084,9450,9274,148670
