urbanicity,year,medianHI,IncarcerationRate,total_pop
"small/mid",2010,137,0.24436151521357174,3833255
"small/mid",2010,76,0.5276116043215893,2871999
"small/mid",2010,164,0.2643876940605092,1716797
"small/mid",2010,150,0.2445568487217152,2256735
"small/mid",2010,101,0.5277197226189139,11965632
"small/mid",2010,107,0.4420678359056834,9366662
"small/mid",2011,114,0.4054575408965813,13981242
"small/mid",2011,151,0.189009635850262,1812606
"small/mid",2011,136,0.25516763920482644,5358830
"small/mid",2011,92,0.5380523731587561,22240400
"small/mid",2011,78,0.5715938687795944,6405772
"small/mid",2011,162,0.31438672133145984,467577
"small/mid",2011,125,0.35457483543155777,8609184
"small/mid",2011,167,0.24077075389994718,834819
"small/mid",2011,102,0.518640045152767,19650623
"small/mid",2011,180,0.24710168930109308,150950
"small/mid",2012,0,NaN,0
"small/mid",2012,0,NaN,0
"small/mid",2012,0,NaN,0
"small/mid",2012,0,NaN,0
"small/mid",2012,0,NaN,0
"small/mid",2012,0,NaN,0
"small/mid",2012,125,0.3251556401731199,17181618
"small/mid",2012,152,0.2097320245487199,4884328
"small/mid",2012,88,0.5402646072828172,28363694
"small/mid",2012,105,0.47157207436395776,30695838
"small/mid",2013,119,0.37899937188751764,11351470
"small/mid",2013,76,0.5714148949565184,4804915
"small/mid",2013,135,0.21606964714614624,2392747
"small/mid",2013,144,0.2509429576711313,1626266
"small/mid",2013,108,0.45511532495190044,15399833
"small/mid",2013,129,0.3051844347141607,6593390
"small/mid",2013,155,0.23184694064497405,2625439
"small/mid",2013,166,0.20562659750448783,1064551
"small/mid",2013,89,0.5464992640468624,16763975
"small/mid",2013,98,0.49919572318632116,20216920
"small/mid",2014,109,0.4457695597449288,14380300
"small/mid",2014,120,0.3653089731647773,8337326
"small/mid",2014,157,0.22860014426113953,2678476
"small/mid",2014,85,0.5406222601830839,9061965
"small/mid",2014,73,0.5463733127425203,3683196
"small/mid",2014,129,0.3186744480677177,7654834
"small/mid",2014,150,0.1931877871720631,1642961
"small/mid",2014,101,0.4504679727874747,13033557
"small/mid",2014,139,0.23179141144401594,3120478
"small/mid",2014,93,0.5494193181971093,17241112
"suburban",1989,169,0.11873209918041548,1291142
"suburban",1989,176,7.16450263224824e-2,601577
"suburban",1989,95,0.21840110041815078,6407019
"suburban",1989,103,0.23806737121360752,3562857
"suburban",1989,113,0.18424910116316864,4417932
"suburban",1989,153,0.10935056970650457,4014611
"suburban",1989,135,0.16667820605810385,11742387
"suburban",1989,123,0.1735228144516637,5475937
