state,year,medianHI,IncarcerationRate,total_pop
"CA",1995,36395,4.466837638865187e-3,2513859
"CA",1995,33842,5.180049990555988e-3,10525188
"CA",1995,37321,4.19141161536483e-3,3841188
"CA",1995,45531,2.8697807435653e-3,2622500
"CA",1995,23273,3.6233520976588266e-3,221342
"CA",1995,51042,2.7302626679049616e-3,5974883
"CA",1995,35711,4.0756484522323465e-3,1992321
"CA",1995,31358,5.518962343224344e-3,1828967
"CA",1995,41145,2.396357288272561e-3,965215
"CA",1997,0,NaN,0
"CA",1997,0,NaN,0
"CA",1997,0,NaN,0
"CA",1997,0,NaN,0
"CA",1997,48847,3.15104407269317e-3,5032935
"CA",1997,27715,5.165147919499362e-3,1184090
"CA",1997,57864,2.7815040755543754e-3,3479772
"CA",1997,37248,5.4146322094861775e-3,18460903
"CA",1997,31841,6.484629035912308e-3,2193649
"CA",1997,44252,3.325172738833321e-3,2133423
"CA",1998,31388,5.816881610235106e-3,1596388
"CA",1998,41807,4.960735163081261e-3,4085080
"CA",1998,37647,5.96895735556758e-3,12001426
"CA",1998,42728,3.2377275689409123e-3,484908
"CA",1998,51226,2.992922630848334e-3,3735145
"CA",1998,27722,5.364052746954143e-3,765466
"CA",1998,61029,2.8390183617820965e-3,3527980
"CA",1998,39684,4.865218299967887e-3,2157971
"CA",1998,33741,6.989991688960533e-3,1055223
"CA",1998,47471,3.3964886445209974e-3,3574574
"CA",1999,0,NaN,0
"CA",1999,0,NaN,0
"CA",1999,0,NaN,0
"CA",1999,0,NaN,0
"CA",1999,52148,3.2275463098712072e-3,6053515
"CA",1999,31989,6.050179504382226e-3,3328331
"CA",1999,65612,2.9039515768322205e-3,3559288
"CA",1999,43334,4.718539178956151e-3,4880324
"CA",1999,38928,5.761168827273923e-3,14304389
"CA",1999,49379,3.1374075175345005e-3,1372152
"CA",2000,0,NaN,0
"CA",2000,0,NaN,0
"CA",2000,0,NaN,0
"CA",2000,0,NaN,0
"CA",2000,55977,3.172114044401458e-3,6143537
"CA",2000,34201,6.096564631887127e-3,3408805
"CA",2000,70881,2.912807530662267e-3,3593097
"CA",2000,48028,4.297495531668344e-3,3722866
"CA",2000,42165,5.658025633723166e-3,15723506
"CA",2000,53318,3.104038332364367e-3,1394957
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,0,NaN,0
"CA",2001,47459,4.550941607028742e-3,34479458
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,0,NaN,0
"CA",2002,47429,4.573508128880812e-3,34870606
"CA",2003,0,NaN,0
"CA",2003,0,NaN,0
"CA",2003,0,NaN,0
"CA",2003,0,NaN,0
"CA",2003,56258,3.0937976378928264e-3,5803547
"CA",2003,32688,5.808327718363232e-3,1184334
"CA",2003,66091,2.9832781781255475e-3,3879960
"CA",2003,42231,5.443764575924389e-3,15179569
"CA",2003,36625,6.605421032057263e-3,2419982
"CA",2003,48574,3.953403431982212e-3,6784534
"CA",2004,36072,6.178353337810036e-3,1587478
"CA",2004,46936,4.7891628505724775e-3,4360261
"CA",2004,43417,5.613721631671871e-3,12349027
"CA",2004,48083,1.2724550898203593e-3,13360
"CA",2004,52298,3.6061255328074878e-3,4712537
"CA",2004,33316,5.5234916687038746e-3,564498
"CA",2004,61899,3.037658663748915e-3,9537938
"CA",2004,44813,5.093372457389194e-3,828135
"CA",2004,38466,6.774890766208509e-3,1523567
"CA",2004,49811,1.688909151193634e-3,96512
"CA",2005,37532,6.314214047359817e-3,622722
"CA",2005,51704,4.86397735081951e-3,1458066
"CA",2005,48024,5.650064176222083e-3,10560765
"CA",2005,52030,5.533486477225134e-3,1969825
"CA",2005,61516,3.4164261993665855e-3,2522519
"CA",2005,34510,5.569887039831922e-3,601628
"CA",2005,70074,2.9643758747441903e-3,7342861
"CA",2005,48864,5.529102232659e-3,3059267
"CA",2005,40737,6.328884678043275e-3,2457147
"CA",2005,56480,3.8263170489479586e-3,5231924
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,0,NaN,0
"CA",2006,57258,4.7836300385514395e-3,36019926
"CA",2007,0,NaN,0
"CA",2007,0,NaN,0
"CA",2007,0,NaN,0
"CA",2007,0,NaN,0
"CA",2007,64533,3.5475772513101846e-3,7032405
"CA",2007,38990,6.105989722734799e-3,1520638
"CA",2007,77372,3.0146365494280957e-3,7392931
"CA",2007,53248,5.8652525404385885e-3,10974975
"CA",2007,46111,6.071935329328917e-3,2511061
"CA",2007,56874,5.25434327896897e-3,6817027
"CA",2008,43981,6.018050660016105e-3,2863718
"CA",2008,58822,4.398776420982115e-3,406022
"CA",2008,55275,5.90728324064386e-3,12607149
"CA",2008,60428,3.6601257371188345e-3,682217
"CA",2008,74178,2.9845466465184775e-3,7802190
"CA",2008,38638,4.965311547688517e-3,771150
"CA",2008,87700,3.0554821193587386e-3,2693192
"CA",2008,57339,5.2503117820097995e-3,3701304
"CA",2008,49272,5.779785068487997e-3,956956
"CA",2008,63263,3.75579263829685e-3,4119237
"CA",2009,40916,5.84195968663564e-3,1509425
"CA",2009,57161,4.309633173168512e-3,708645
"CA",2009,52265,5.781442608732774e-3,4146197
"CA",2009,58555,4.196443014968265e-3,420356
"CA",2009,71114,2.8350544210195556e-3,7800203
"CA",2009,37081,4.213885618981452e-3,485063
"CA",2009,85062,2.9205573238140457e-3,2729616
"CA",2009,54538,5.5817789947803734e-3,12254516
"CA",2009,46527,5.753629675747199e-3,2640594
"CA",2009,60852,3.7750119155993424e-3,4265417
"CA",2010,0,NaN,0
"CA",2010,0,NaN,0
"CA",2010,52395,5.565931175715314e-3,14090724
"CA",2010,58651,2.5114117138622877e-3,539139
"CA",2010,70360,2.707503732705924e-3,7546804
"CA",2010,40524,5.463040561838973e-3,1859038
"CA",2010,83843,2.6992759546463512e-3,2752590
"CA",2010,54222,4.408352216808326e-3,3597943
"CA",2010,45324,5.422418493664667e-3,2778465
"CA",2010,60458,3.6547605071613055e-3,4088640
"CA",2011,0,NaN,0
"CA",2011,0,NaN,0
"CA",2011,0,NaN,0
"CA",2011,0,NaN,0
"CA",2011,71215,2.4141973097999993e-3,7564419
"CA",2011,39158,4.499695372915119e-3,1570773
"CA",2011,83289,2.446925596718974e-3,2759381
"CA",2011,52008,4.96562330945406e-3,17542410
"CA",2011,43755,4.824438632170969e-3,2825821
"CA",2011,60046,3.183032253923742e-3,5063725
"CA",2012,0,NaN,0
"CA",2012,0,NaN,0
"CA",2012,0,NaN,0
"CA",2012,0,NaN,0
"CA",2012,71611,2.1605126531187256e-3,7836566
"CA",2012,42795,4.242877561638663e-3,4681964
"CA",2012,88455,2.15663649043236e-3,2798339
"CA",2012,56974,3.1416471186401507e-3,692312
"CA",2012,52415,4.5401230118830935e-3,16718710
"CA",2012,60839,2.7999685962078907e-3,4929341
"CA",2013,45799,4.489392918769782e-3,2709275
"CA",2013,61365,2.8904351785868157e-3,3179798
"CA",2013,55939,3.1431061434510107e-3,1017783
"CA",2013,63279,2.441147056229584e-3,600947
"CA",2013,74807,2.111073033058849e-3,7747245
"CA",2013,40574,4.265255389840596e-3,1922042
"CA",2013,91865,2.0500948785318785e-3,2838893
"CA",2013,60919,2.3807276085189683e-3,921567
"CA",2013,53786,4.560302383877322e-3,16614907
"CA",2013,66468,2.2536015450796004e-3,462371
"CA",2014,45033,4.7414461153563355e-3,2722798
"CA",2014,64257,2.331149427420702e-3,269395
"CA",2014,56980,4.145100408683312e-3,2831777
