year,state,CrimeRate,ImprisonedPerCrimeRate
2001,"MI",6.160945665817099e-2,3.3511332037305906e-2
2001,"MN",5.365911325945615e-2,2.4668245769241745e-2
2001,"MO",7.046138171676868e-2,6.702100772759648e-2
2001,"MS",5.12325132593603e-2,9.363440277589638e-2
2001,"NC",7.250264686008318e-2,2.7473759755988158e-2
2001,"ND",3.697882395564992e-2,3.7245155248180964e-2
2001,"NE",6.715099406805505e-2,2.7907589985496844e-2
2001,"NH",2.0556739123002068e-2,6.234228033952741e-2
2001,"NJ",4.887773846854624e-2,5.2568636744813504e-2
2001,"NV",6.393925119446914e-2,4.78263759638394e-2
2001,"NY",4.026545628788084e-2,4.834275717722033e-2
2001,"OH",5.635760609980795e-2,4.830114677921303e-2
2001,"OK",7.047407089800746e-2,5.026835973294934e-2
2001,"OR",7.585262288111107e-2,2.4146322049509342e-2
2001,"PA",4.145118582893859e-2,3.8924759759124926e-2
2001,"SC",8.054427716443949e-2,4.4281030871505325e-2
2001,"SD",3.513542369454648e-2,9.846770543738281e-2
2001,"TN",7.68786115196897e-2,4.551469622635791e-2
2001,"TX",7.747207393731351e-2,5.1302903613767825e-2
2001,"UT",6.418474393345196e-2,2.9923664122137403e-2
2001,"VA",4.46025677756688e-2,5.345876084070494e-2
2001,"WA",7.521524262233273e-2,2.1990026901121975e-2
2001,"WI",4.98905584336139e-2,4.7692065738774866e-2
2001,"WV",3.6153624894644604e-2,3.786021555113558e-2
2001,"WY",5.368472878946928e-2,3.6857587817961585e-2
2002,"AK",5.0916748972796584e-2,0.7741572528016563
2002,"AL",6.145991750364717e-2,4.61374154503382e-2
2002,"AR",6.328154604016673e-2,7.634730538922156e-2
2002,"AZ",9.859338254120534e-2,3.644664730797403e-2
2002,"CA",5.99115245726374e-2,8.483900633448181e-2
2002,"CO",5.885630857319968e-2,4.292152395523257e-2
2002,"FL",8.436632773374114e-2,3.090230616042499e-2
2002,"GA",6.531320760446407e-2,4.216846782352801e-2
2002,"HI",9.136734460074647e-2,2.5631888074968655e-2
2002,"IA",5.29723900834917e-2,5.396553461654741e-2
2002,"IL",2.8632775410713032e-2,0.14059204611338447
2002,"IN",5.001573152830879e-2,6.314130179368685e-2
2002,"KY",2.301051877002405e-2,0.15994972235923055
2002,"LA",7.26118993946726e-2,6.965693625399046e-2
2002,"MA",2.7805688937456878e-2,1.723563696919234e-2
2002,"MD",7.182364568312685e-2,3.6942198149675094e-2
2002,"ME",3.959558341976983e-2,2.6255401579496348e-2
2002,"MI",5.886251750180866e-2,3.690039738495065e-2
2002,"MN",5.326732476042818e-2,2.8500036829073438e-2
2002,"MO",7.000812344644768e-2,6.886163526815374e-2
2002,"MS",5.0653202829277995e-2,0.10122010122010122
